playerID,teamID,age,points
guerrde01,OAK,33.0,240.43735
tatedi01,BAL,28.0,238.32973
suterbr01,MIL,33.0,238.11827
paganem01,SDN,31.0,238.09935
woodal02,SFN,31.0,237.03017
funkhky01,DET,28.0,235.47168
garream01,CIN,30.0,232.7779
alexaty01,DET,28.0,232.28238
millsal02,CHN,31.0,231.71785
flemijo01,TBA,26.0,230.62076
severlu01,NYA,28.0,226.45093
priceda01,LAN,37.0,224.93338
brogdco01,PHI,27.0,224.87839
gallegi01,SLN,31.0,223.37776
gombeau01,COL,29.0,223.34752
jackslu01,ATL,31.0,222.06595
feyerjo01,TBA,29.0,221.69824
allarko01,TEX,25.0,220.60847
richatr01,TOR,29.0,219.82277
raleybr01,TBA,34.0,218.00368
fairbpe01,TBA,29.0,217.84972
finneky01,WAS,31.0,217.77126
graveke01,CHA,32.0,217.24591
stratch01,PIT,32.0,217.10155
gilbrlu01,COL,26.0,216.07623
keuchda01,CHA,34.0,215.5114
duffety01,MIN,32.0,214.93784
warrear01,CIN,29.0,214.78299
montafr01,OAK,29.0,213.75684
thompke02,CHN,27.0,211.28638
howarsa01,PIT,29.0,209.06067
alvarjo03,PHI,27.0,208.6835
kellyme01,ARI,34.0,208.2859
willide03,MIL,28.0,208.06943
leonedo01,SFN,31.0,206.32436
freelky01,COL,29.0,206.02106
garcilu03,SDN,35.0,205.96356
matonph01,HOU,29.0,205.90408
odorija01,HOU,32.0,205.42993
vothau01,WAS,30.0,204.65192
hernajo02,TEX,26.0,204.56784
morgael01,CLE,26.0,202.56622
chacijh01,COL,34.0,202.51672
scottta01,BAL,28.0,201.91351
cimbead01,TOR,32.0,200.81087
okertst01,MIA,31.0,198.93517
klubeco01,TBA,36.0,196.83195
walketa01,NYN,30.0,196.09183
santito01,CIN,25.0,196.07301
sandopa02,LAA,26.0,194.11885
stanery01,HOU,31.0,193.974
ramirno01,ARI,33.0,192.02747
frypa01,BAL,30.0,191.81467
cobbal01,SFN,35.0,191.25374
lametdi01,SDN,30.0,191.19012
wislema01,TBA,30.0,190.54372
yarbrry01,TBA,31.0,189.41492
bumgama01,ARI,33.0,189.3646
lopezjo02,BAL,29.0,188.32784
peralwa01,NYA,31.0,187.3766
stephro01,COL,29.0,187.0798
mcfartj01,SLN,33.0,186.57248
thompza01,PIT,29.0,186.5397
germado01,NYA,30.0,186.53491
wachami01,BOS,31.0,184.1586
rogerta01,MIN,32.0,183.64404
montera01,HOU,32.0,182.2384
grayjo02,TEX,31.0,179.38734
antonte01,CIN,29.0,179.09189
thompry02,TBA,30.0,178.64738
chargjt01,TBA,32.0,178.40393
bleieri01,MIA,35.0,177.61394
turnbsp01,DET,30.0,177.26062
bummeaa01,CHA,29.0,175.8391
bundydy01,MIN,30.0,174.14134
brasiry01,BOS,35.0,173.44717
ashbyaa01,MIL,24.0,173.24849
lugose01,NYN,33.0,173.13843
willitr01,NYN,30.0,173.0484
minormi01,KCA,35.0,172.97859
lopezre01,CHA,28.0,172.5934
clarkta01,KCA,29.0,171.46336
brubajt01,PIT,29.0,170.33551
taylojo02,BOS,29.0,169.94423
estevca01,COL,30.0,169.07202
heuerco01,CHN,26.0,168.3075
pomerdr01,SDN,34.0,166.89325
jimenjo02,DET,27.0,166.6157
langeal01,DET,27.0,165.43839
corbipa01,WAS,33.0,165.08023
hoffmje02,CIN,29.0,164.76836
smithca03,ARI,31.0,164.58585
burrry01,CHA,28.0,164.20125
steelju01,CHN,27.0,162.87321
minteaj01,ATL,29.0,162.768
salech01,BOS,33.0,162.48245
raineta01,WAS,30.0,162.42772
hearnta01,TEX,28.0,162.25975
cottojh01,MIN,30.0,160.805
garzara01,MIN,28.0,159.77417
sandlni01,CLE,25.0,158.49365
mantijo01,ARI,31.0,158.0765
wendejb01,ARI,29.0,157.1156
dunnida01,TEX,28.0,157.09619
whitlko01,SLN,27.0,155.78806
luzarje01,MIA,25.0,154.32367
machaan02,WAS,29.0,154.1287
sheffjo01,COL,27.0,154.1063
brittza01,NYA,35.0,153.41133
akinke01,BAL,27.0,153.2153
harriwi02,WAS,38.0,152.03235
underdu01,PIT,28.0,151.65427
falteba01,PHI,25.0,151.26656
hernael01,MIA,27.0,150.22458
carraca01,NYN,35.0,149.50826
valdeph01,BOS,31.0,148.8867
maydu01,LAN,25.0,148.68716
rasmudr01,TBA,27.0,148.04054
helslry01,SLN,28.0,147.5347
cortene01,NYA,28.0,146.89539
santade01,TEX,26.0,146.88354
cousija01,MIL,28.0,145.70676
misiean01,SEA,28.0,144.60568
payamjo01,KCA,28.0,144.58429
jacksja01,ATL,35.0,144.56345
abreual01,NYA,27.0,144.07208
popza01,MIA,26.0,143.89917
kellebr01,KCA,27.0,142.11185
smithdr01,NYN,29.0,141.29427
strasst01,WAS,34.0,140.8695
hollojo01,MIA,26.0,140.56015
quintjo01,PIT,33.0,139.09306
wickro01,CHN,30.0,138.73505
perdoan01,MIL,28.0,136.80293
dunnju01,SEA,27.0,136.02036
weavelu01,ARI,29.0,134.60532
hentgsa01,CLE,26.0,132.57721
webbja01,ATL,29.0,131.19116
widenta01,ARI,28.0,130.38666
borucry01,TOR,28.0,129.63834
coonrsa01,PHI,30.0,128.7984
taylobl01,HOU,27.0,127.73911
wantzan01,LAA,27.0,127.70316
ryanjo04,MIN,26.0,126.295166
quijajo01,LAA,27.0,124.24427
sadleca02,SEA,32.0,122.88401
crowewi01,PIT,28.0,121.052055
gilbety01,ARI,29.0,120.85396
lucchjo01,NYN,29.0,120.25706
knebeco01,PHI,31.0,117.29206
bickfph01,LAN,27.0,115.97218
wieckbr01,CHN,31.0,115.78662
hudsoda02,SLN,28.0,115.26279
hudsoda02,LAN,28.0,115.26279
kingjo01,TEX,28.0,114.86252
warreau01,LAA,26.0,114.82174
clevimi01,SDN,32.0,111.958046
castrmi01,NYN,28.0,111.509735
anderni01,TBA,32.0,111.384605
ruckemi01,CHN,28.0,110.39778
gratebr01,LAN,24.0,109.652306
wilsoju10,CIN,35.0,109.483894
gustaja01,MIL,30.0,108.730835
toussto01,ATL,26.0,106.979675
hernada02,BOS,26.0,105.75296
beedety01,SFN,29.0,105.336586
stripro01,TOR,33.0,103.77262
baezmi01,SDN,26.0,102.812614
tapiado01,KCA,31.0,101.322586
ferguca01,LAN,26.0,101.27228
mckaybr01,TBA,27.0,101.21025
thorntr01,TOR,29.0,100.33563
mearsni01,PIT,26.0,99.636635
woodfja01,SLN,26.0,98.21697
lorenmi01,LAA,30.0,97.698845
barrija01,LAA,26.0,97.60795
davisau01,BOS,29.0,96.24259
effrosc01,CHN,29.0,96.12687
acevedo01,OAK,28.0,95.98177
mikolmi01,SLN,34.0,95.775444
rodrima01,CHN,26.0,94.323784
peterdi01,PIT,30.0,93.58313
reidfse01,NYN,27.0,92.62211
gotttr01,MIL,30.0,89.79318
newcose01,ATL,29.0,87.73754
sorokmi01,ATL,25.0,86.06811
hergeji01,LAA,29.0,80.73579
brebbjo01,SFN,32.0,80.16924
bandaan01,PIT,29.0,79.62794
wilsobr02,PIT,25.0,78.18031
perezci01,BAL,26.0,76.55591
sherrry01,PHI,32.0,75.46047
lowthza01,BAL,26.0,73.09896
swanser01,SEA,29.0,72.666405
nelsoni01,PHI,27.0,72.33929
stashco01,MIN,28.0,72.29351
rodrijo04,NYA,31.0,69.28557
davidtu01,ATL,26.0,67.847435
alexyaj01,TEX,24.0,65.94359
rodrich01,LAA,24.0,65.39182
poppese01,ARI,28.0,65.168434
grayjo03,WAS,25.0,64.62153
merryju01,TOR,31.0,62.67922
sanmare01,CIN,26.0,62.629673
paxtoja01,BOS,34.0,62.402065
howarsp01,TEX,26.0,60.933422
goudeas01,COL,30.0,60.84876
murphpa02,WAS,27.0,60.614994
bukaujb01,ARI,26.0,60.60838
allenlo01,CLE,25.0,58.89594
pukaj01,OAK,27.0,57.573383
phillev01,LAN,28.0,57.26328
jeffeda01,OAK,27.0,52.180088
gosean01,CLE,32.0,49.027096
margeni01,SEA,26.0,47.9521
baezpe01,HOU,34.0,47.646732
moretda01,CIN,26.0,46.36143
reedja02,NYN,30.0,46.1937
colemdy01,KCA,26.0,45.5762
mollsa01,OAK,30.0,39.761417
garciro03,DET,25.0,39.558064
rogerjo01,WAS,28.0,37.482
chiriyo01,TBA,29.0,37.12318
dobnara01,MIN,27.0,36.210094
speiega01,KCA,27.0,33.59506
perezfr01,WAS,25.0,28.92837
guerrja02,SDN,27.0,28.07393
morejad01,SDN,23.0,26.323137
thorple01,MIN,27.0,26.223124
romerjo01,PHI,26.0,25.803873
krehbjo01,BAL,30.0,24.636072
delpomi01,DET,30.0,23.68719
snydeni01,TEX,27.0,22.897615
hanhoer01,PIT,29.0,16.14882
moranjo01,MIN,25.0,14.0572605
crousha01,PHI,24.0,6.3822727
honeybr01,OAK,27.0,5.4270725
dominse01,PHI,28.0,4.140421
munozan01,SEA,23.0,1.8941939
naughpa01,LAA,26.0,0.9081671
hicksjo03,SLN,26.0,-3.8551462
szaputh01,NYN,26.0,-5.470648
lambepe01,COL,25.0,-10.360785
