playerID,teamID,age,points,nameFirst,nameLast
singebr01,KCA,26.0,331.79868,Brady,Singer
alcaljo01,MIN,27.0,326.15466,Jorge,Alcala
maedake01,MIN,34.0,325.8698,Kenta,Maeda
kittran01,TBA,32.0,324.1704,Andrew,Kittredge
mcgeeja01,SFN,36.0,321.91165,Jake,McGee
houckta01,BOS,26.0,319.8317,Tanner,Houck
hillri01,BOS,42.0,316.23782,Rich,Hill
feddeer01,WAS,29.0,313.34622,Erick,Fedde
brentja01,KCA,28.0,313.2062,Jake,Brentz
cabrege01,SLN,26.0,313.07773,Genesis,Cabrera
mileywa01,CHN,36.0,311.67953,Wade,Miley
barlosc01,KCA,30.0,311.48972,Scott,Barlow
sulseco01,BAL,32.0,311.14105,Cole,Sulser
barlojo01,TEX,27.0,310.40875,Joe,Barlow
kahnlto01,LAN,33.0,309.288,Tommy,Kahnle
quantca01,CLE,27.0,307.83536,Cal,Quantrill
treinbl01,LAN,34.0,307.39673,Blake,Treinen
gutievl01,CIN,27.0,302.6523,Vladimir,Gutierrez
hernaca04,KCA,25.0,302.23523,Carlos,Hernandez
melanma01,ARI,37.0,298.5255,Mark,Melancon
stammcr01,SDN,38.0,294.90366,Craig,Stammen
cisnejo01,DET,33.0,294.8627,Jose,Cisnero
johnspi01,SDN,31.0,292.22983,Pierce,Johnson
alvarjo02,SFN,33.0,290.40732,Jose,Alvarez
matzety01,ATL,32.0,288.8801,Tyler,Matzek
fulmemi01,DET,29.0,281.84158,Michael,Fulmer
heanean01,LAN,31.0,280.718,Andrew,Heaney
vesiaal01,LAN,26.0,280.50552,Alex,Vesia
pattosp01,TEX,34.0,276.70352,Spencer,Patton
florody01,MIA,32.0,275.24197,Dylan,Floro
rogerty01,SFN,32.0,272.92892,Tyler,Rogers
senzaan01,COL,27.0,270.71347,Antonio,Senzatela
smithwi04,ATL,33.0,268.4763,Will,Smith
holmecl01,NYA,29.0,265.90115,Clay,Holmes
gibsoky01,PHI,35.0,265.41745,Kyle,Gibson
grayso01,CIN,33.0,265.32474,Sonny,Gray
staumjo01,KCA,29.0,264.90295,Josh,Staumont
sborzjo01,TEX,29.0,264.21378,Josh,Sborz
hillti01,SDN,32.0,262.01022,Tim,Hill
syndeno01,LAA,30.0,260.8793,Noah,Syndergaard
hendrky01,CHN,33.0,259.77042,Kyle,Hendricks
dovalca01,SFN,25.0,258.55667,Camilo,Doval
garciyi01,TOR,32.0,256.9337,Yimi,Garcia
eflinza01,PHI,28.0,256.90726,Zach,Eflin
rayro02,SEA,31.0,256.6922,Robbie,Ray
gileske01,SEA,32.0,255.56651,Ken,Giles
loupaa01,LAA,35.0,254.58054,Aaron,Loup
sawamhi01,BOS,34.0,250.93234,Hirokazu,Sawamura
loaisjo01,NYA,28.0,250.2881,Jonathan,Loaisiga
gonsoto01,LAN,28.0,250.2768,Tony,Gonsolin
bassan01,MIA,35.0,248.25801,Anthony,Bass
cessalu01,CIN,30.0,247.84763,Luis,Cessa
kinlety01,COL,31.0,245.97884,Tyler,Kinley
lylesjo01,BAL,32.0,245.93254,Jordan,Lyles
patinlu01,TBA,23.0,245.58865,Luis,Patino
headlo01,MIA,32.0,244.81639,Louis,Head
mayermi01,LAA,31.0,240.71451,Mike,Mayers
guerrde01,OAK,33.0,240.43735,Deolis,Guerra
tatedi01,BAL,28.0,238.32973,Dillon,Tate
suterbr01,MIL,33.0,238.11827,Brent,Suter
paganem01,SDN,31.0,238.09935,Emilio,Pagan
woodal02,SFN,31.0,237.03017,Alex,Wood
funkhky01,DET,28.0,235.47168,Kyle,Funkhouser
garream01,CIN,30.0,232.7779,Amir,Garrett
alexaty01,DET,28.0,232.28238,Tyler,Alexander
millsal02,CHN,31.0,231.71785,Alec,Mills
flemijo01,TBA,26.0,230.62076,Josh,Fleming
severlu01,NYA,28.0,226.45093,Luis,Severino
priceda01,LAN,37.0,224.93338,David,Price
brogdco01,PHI,27.0,224.87839,Connor,Brogdon
gallegi01,SLN,31.0,223.37776,Giovanny,Gallegos
gombeau01,COL,29.0,223.34752,Austin,Gomber
jackslu01,ATL,31.0,222.06595,Luke,Jackson
feyerjo01,TBA,29.0,221.69824,J. P.,Feyereisen
allarko01,TEX,25.0,220.60847,Kolby,Allard
richatr01,TOR,29.0,219.82277,Trevor,Richards
raleybr01,TBA,34.0,218.00368,Brooks,Raley
fairbpe01,TBA,29.0,217.84972,Pete,Fairbanks
finneky01,WAS,31.0,217.77126,Kyle,Finnegan
graveke01,CHA,32.0,217.24591,Kendall,Graveman
stratch01,PIT,32.0,217.10155,Chris,Stratton
gilbrlu01,COL,26.0,216.07623,Lucas,Gilbreath
keuchda01,CHA,34.0,215.5114,Dallas,Keuchel
duffety01,MIN,32.0,214.93784,Tyler,Duffey
warrear01,CIN,29.0,214.78299,Art,Warren
montafr01,OAK,29.0,213.75684,Frankie,Montas
thompke02,CHN,27.0,211.28638,Keegan,Thompson
howarsa01,PIT,29.0,209.06067,Sam,Howard
alvarjo03,PHI,27.0,208.6835,Jose,Alvarado
kellyme01,ARI,34.0,208.2859,Merrill,Kelly
willide03,MIL,28.0,208.06943,Devin,Williams
leonedo01,SFN,31.0,206.32436,Dominic,Leone
freelky01,COL,29.0,206.02106,Kyle,Freeland
garcilu03,SDN,35.0,205.96356,Luis,Garcia
matonph01,HOU,29.0,205.90408,Phil,Maton
odorija01,HOU,32.0,205.42993,Jake,Odorizzi
vothau01,WAS,30.0,204.65192,Austin,Voth
hernajo02,TEX,26.0,204.56784,Jonathan,Hernandez
