playerID,teamID,age
haderjo01,MIL,28.0
suterbr01,MIL,33.0
gustaja01,MIL,30.0
ashbyaa01,MIL,24.0
gotttr01,MIL,30.0
perdoan01,MIL,28.0
willide03,MIL,28.0
stromma01,CHN,31.0
hendrky01,CHN,33.0
mileywa01,CHN,36.0
alzolad01,CHN,27.0
millsal02,CHN,31.0
steelju01,CHN,27.0
wickro01,CHN,30.0
effrosc01,CHN,29.0
heuerco01,CHN,26.0
rodrima01,CHN,26.0
ruckemi01,CHN,28.0
thompke02,CHN,27.0
wieckbr01,CHN,31.0
strasst01,WAS,34.0
corbipa01,WAS,33.0
espinpa01,WAS,35.0
grayjo03,WAS,25.0
rogerjo01,WAS,28.0
finneky01,WAS,31.0
harriwi02,WAS,38.0
feddeer01,WAS,29.0
raineta01,WAS,30.0
machaan02,WAS,29.0
murphpa02,WAS,27.0
perezfr01,WAS,25.0
vothau01,WAS,30.0
marquge01,COL,27.0
senzaan01,COL,27.0
freelky01,COL,29.0
chacijh01,COL,34.0
gombeau01,COL,29.0
lambepe01,COL,25.0
estevca01,COL,30.0
obergsc01,COL,32.0
bardda01,COL,37.0
kinlety01,COL,31.0
stephro01,COL,29.0
gilbrlu01,COL,26.0
goudeas01,COL,30.0
sheffjo01,COL,27.0
klubeco01,TBA,36.0
glasnty01,TBA,29.0
yarbrry01,TBA,31.0
chiriyo01,TBA,29.0
mcclash01,TBA,25.0
mckaybr01,TBA,27.0
patinlu01,TBA,23.0
rasmudr01,TBA,27.0
kittran01,TBA,32.0
raleybr01,TBA,34.0
wislema01,TBA,30.0
anderni01,TBA,32.0
chargjt01,TBA,32.0
fairbpe01,TBA,29.0
feyerjo01,TBA,29.0
flemijo01,TBA,26.0
thompry02,TBA,30.0
minormi01,KCA,35.0
kellebr01,KCA,27.0
bubickr01,KCA,25.0
hernaca04,KCA,25.0
payamjo01,KCA,28.0
singebr01,KCA,26.0
barlosc01,KCA,30.0
clarkta01,KCA,29.0
brentja01,KCA,28.0
colemdy01,KCA,26.0
speiega01,KCA,27.0
staumjo01,KCA,29.0
tapiado01,KCA,31.0
manaese01,OAK,30.0
bassich01,OAK,33.0
montafr01,OAK,29.0
irvinco01,OAK,28.0
kaprija01,OAK,28.0
trivilo01,OAK,31.0
guerrde01,OAK,33.0
acevedo01,OAK,28.0
honeybr01,OAK,27.0
jeffeda01,OAK,27.0
mollsa01,OAK,30.0
pukaj01,OAK,27.0
bundydy01,MIN,30.0
dobnara01,MIN,27.0
cottojh01,MIN,30.0
maedake01,MIN,34.0
oberba01,MIN,27.0
ryanjo04,MIN,26.0
thorple01,MIN,27.0
rogerta01,MIN,32.0
duffety01,MIN,32.0
thielca01,MIN,35.0
alcaljo01,MIN,27.0
garzara01,MIN,28.0
moranjo01,MIN,25.0
stashco01,MIN,28.0
rayro02,SEA,31.0
gonzama02,SEA,30.0
flexech01,SEA,28.0
dunnju01,SEA,27.0
gilbelo01,SEA,25.0
margeni01,SEA,26.0
steckdr01,SEA,31.0
sewalpa01,SEA,32.0
gileske01,SEA,32.0
castidi01,SEA,28.0
sadleca02,SEA,32.0
misiean01,SEA,28.0
munozan01,SEA,23.0
swanser01,SEA,29.0
bumgama01,ARI,33.0
kellyme01,ARI,34.0
weavelu01,ARI,29.0
galleza01,ARI,27.0
gilbety01,ARI,29.0
melanma01,ARI,37.0
wendejb01,ARI,29.0
smithca03,ARI,31.0
ramirno01,ARI,33.0
bukaujb01,ARI,26.0
mantijo01,ARI,31.0
poppese01,ARI,28.0
widenta01,ARI,28.0
alcansa01,MIA,27.0
lopezpa01,MIA,26.0
hernael01,MIA,27.0
luzarje01,MIA,25.0
rogertr01,MIA,25.0
florody01,MIA,32.0
bassan01,MIA,35.0
bleieri01,MIA,35.0
bendean01,MIA,27.0
headlo01,MIA,32.0
hollojo01,MIA,26.0
okertst01,MIA,31.0
popza01,MIA,26.0
quintjo01,PIT,33.0
brubajt01,PIT,29.0
thompza01,PIT,29.0
wilsobr02,PIT,25.0
stratch01,PIT,32.0
bednada01,PIT,28.0
bandaan01,PIT,29.0
crowewi01,PIT,28.0
hanhoer01,PIT,29.0
howarsa01,PIT,29.0
mearsni01,PIT,26.0
peterdi01,PIT,30.0
underdu01,PIT,28.0
lylesjo01,BAL,32.0
meansjo01,BAL,29.0
akinke01,BAL,27.0
lowthza01,BAL,26.0
wellsty01,BAL,28.0
lopezjo02,BAL,29.0
scottta01,BAL,28.0
frypa01,BAL,30.0
krehbjo01,BAL,30.0
perezci01,BAL,26.0
sulseco01,BAL,32.0
tatedi01,BAL,28.0
quantca01,CLE,27.0
allenlo01,CLE,25.0
biebesh01,CLE,27.0
civalaa01,CLE,27.0
hentgsa01,CLE,26.0
mckentr01,CLE,25.0
plesaza01,CLE,27.0
claseem01,CLE,24.0
gosean01,CLE,32.0
karinja01,CLE,27.0
morgael01,CLE,26.0
sandlni01,CLE,25.0
stephtr01,CLE,27.0
